path,sha256,size_bytes,subject_id,session_id,trial_id,experiment_id,acquisition_timestamp,acquisition_timestamp_source,processing_version,record_type_sample,notes
logs/session_91da6e39-21ce-4c21-a951-b21ac562edd5.jsonl,2aa958e11285caf508654aed37b67d11c8820a26017638cdccaa2f349e40e193,1220025,P03,91da6e39-21ce-4c21-a951-b21ac562edd5,,,2026-07-04T15:34:35.066276+00:00,record field (ts_utc/generated_at_utc of first record),1.3,sample,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_947f8b25-2047-4f8b-b161-8fbda0d01edf.jsonl,bdfa709503186fa63368ee7b9753d2c91ea6f0a4ba6b6ab079e106792396eb05,330231,,947f8b25-2047-4f8b-b161-8fbda0d01edf,,,2026-07-03T16:54:30.581103+00:00,record field (ts_utc/generated_at_utc of first record),1.0,,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_a1d2b506-babc-4191-9183-01645f3a7a47.jsonl,a5f388522ee4cc7aba0fc77088866460e4f0389d0332baacd8f73933c38bd427,648199,P01,a1d2b506-babc-4191-9183-01645f3a7a47,,,2026-07-04T15:30:20.582926+00:00,record field (ts_utc/generated_at_utc of first record),1.3,sample,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_bc384003-5529-43ef-b046-24e4fcba22e9.jsonl,3b8b2bf8be9a1fba95d36524edba7b97fbdbe841190f43dd7831d94d2e90160b,1774114,P04,bc384003-5529-43ef-b046-24e4fcba22e9,,,2026-07-04T15:35:30.343584+00:00,record field (ts_utc/generated_at_utc of first record),1.3,sample,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_c70daab0-2b83-4dc1-80eb-6195d372a93a.jsonl,1c8418aa592112c274a88e4ad97a9fbfe0d6f4858d0f2e0d14b8074f5b1ddb4c,223789,,c70daab0-2b83-4dc1-80eb-6195d372a93a,,,2026-07-04T03:44:29.699109+00:00,record field (ts_utc/generated_at_utc of first record),1.0,,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_ce266287-ebe7-42cf-9f85-8c304126a955.jsonl,c04085647a3a24779d6bc49f9593ffe8031b7f3afd9f34efd938fac910d8e175,641812,,ce266287-ebe7-42cf-9f85-8c304126a955,,,2026-07-04T03:52:32.783777+00:00,record field (ts_utc/generated_at_utc of first record),1.1,sample,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_d01dd0e9-06aa-4ea3-9a5f-313f4ee562d5.jsonl,05f2580adb07baf9b008e44746283c141e88b592cd5a444e88be59dcab5bd59d,652187,,d01dd0e9-06aa-4ea3-9a5f-313f4ee562d5,,,2026-07-04T04:06:43.569493+00:00,record field (ts_utc/generated_at_utc of first record),1.1,sample,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_d7339aaa-8e0f-4281-8dae-aa18f5242a1d.jsonl,8476bf26803b87a8f5bc85de7d086f1e3d73fd60cde2224cf809d8e2cae25a05,1508096,,d7339aaa-8e0f-4281-8dae-aa18f5242a1d,,,2026-07-04T04:27:56.570878+00:00,record field (ts_utc/generated_at_utc of first record),1.2,sample,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_df69b911-ff5b-475d-8d1b-188392d43b93.jsonl,7c433d629942dbcf1d35d97081c828b1bc73d56e7c3eac0e8b5e3dfc64ea69aa,702519,,df69b911-ff5b-475d-8d1b-188392d43b93,,,2026-07-04T04:03:45.252443+00:00,record field (ts_utc/generated_at_utc of first record),1.1,sample,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_eb41ba71-7b48-4126-ae6f-8162b79ca890.jsonl,78bfc38fe24a69ce9ed2f34653e87443b0533e47bfd01306ba8efc566807bef2,2958675,,eb41ba71-7b48-4126-ae6f-8162b79ca890,,,2026-07-04T13:35:20.378632+00:00,record field (ts_utc/generated_at_utc of first record),1.3,sample,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_f0be0555-1e9d-4ca7-a6a4-b1277d209a40.jsonl,100f0a185dd31dcf37650bb8a13b2c4188e208a906f5da38863af6d6866a0e08,668242,,f0be0555-1e9d-4ca7-a6a4-b1277d209a40,,,2026-07-04T04:01:26.816582+00:00,record field (ts_utc/generated_at_utc of first record),1.1,sample,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/session_fd54305e-18c8-4af9-b13f-ac8d5154ad03.jsonl,411b2f466500b2cbee167c97aeedc6585b68ff06be56c184e84b1239222a59b5,1513455,,fd54305e-18c8-4af9-b13f-ac8d5154ad03,,,2026-07-04T13:38:08.169320+00:00,record field (ts_utc/generated_at_utc of first record),1.3,sample,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: JSONL (first record)"
logs/soak_log.jsonl,4c27e9a878f3eebebad690289e5de9ff47ead2c0435117fb3be6cb4fde7ca231,29199,P10B,b3aff8e0-08b6-4c1d-9692-5ae5110df416,,,2026-07-20T17:14:48.584375+00:00,record field (ts_utc/generated_at_utc of first record),,soak_start,"trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); processing_version: none of ['schema_version'] present in this file's records; parse_status: parsed: JSONL (first record)"
logs/validation_20260703_221015.jsonl,d32f2d8994fdd190c53dedc0eb010f363b216a9bcb14af5876c8624d6dfc9a51,8768,,,,,2026-07-03T16:40:19.153789+00:00,"file mtime (WEAK, non-evidentiary -- no ts_utc/generated_at_utc field in this file)",,,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; session_id: none of ['session_id'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); processing_version: none of ['schema_version'] present in this file's records; parse_status: parsed: JSONL (first record)"
logs/validation_20260703_221113.jsonl,8d2808638267eb497447b0f9f1ea1ae7a30b566f035da2b616e21c3744dabb08,710808,,,,,2026-07-03T16:42:24.528765+00:00,"file mtime (WEAK, non-evidentiary -- no ts_utc/generated_at_utc field in this file)",,,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; session_id: none of ['session_id'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); processing_version: none of ['schema_version'] present in this file's records; parse_status: parsed: JSONL (first record)"
logs/validation_20260703_221113_manifest.json,f71776876cb06ab53895c28249b4e7f9633fbe51b3bf6ef9a5b860201d40afd9,1702,,,,,2026-07-03T16:42:24.574732+00:00,"file mtime (WEAK, non-evidentiary -- no ts_utc/generated_at_utc field in this file)",,,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; session_id: none of ['session_id'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); processing_version: none of ['schema_version'] present in this file's records; parse_status: parsed: single JSON document (object)"
logs/variant_log.jsonl,db878aa019a65434a4c579c2de90badf807a4157ac29b73d916c856886ff2c15,501,,,,,2026-08-24T16:52:20.222150+00:00,record field (ts_utc/generated_at_utc of first record),1.0,variant_log_entry,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; session_id: none of ['session_id'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: single JSON document (object)"
logs/video_analysis_clip1_good.json,c9f81d4eb0c167509941cfeb6d86b1f6c6bc3485a91028e3fa75fc2b5ced8f59,6067,,,,,2026-07-26T09:30:09.706495+00:00,record field (ts_utc/generated_at_utc of first record),2.0,video_analysis,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; session_id: none of ['session_id'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: single JSON document (object)"
logs/video_analysis_clip2_modeb.json,18088ca66d0602ba294b88ae67f73cd76cd9d421e132e44fe6484b3bd3c50b8b,11481,,,,,2026-07-26T09:32:07.060626+00:00,record field (ts_utc/generated_at_utc of first record),2.0,video_analysis,"subject_id: none of ['person_label', 'subject_id', 'participant_code'] present in this file's records; session_id: none of ['session_id'] present in this file's records; trial_id: none of ['trial_id'] present in this file's records; experiment_id: none of ['experiment_id'] present in this file's records (predates Gate 0 provenance, this task); parse_status: parsed: single JSON document (object)"
